City,highest_expense_type,lowest_expense_type
"Ongole, India",Fuel,Bills
"Panna, India",Fuel,Bills
"Sardarshahar, India",Grocery,Entertainment
"Kendujhar, India",Grocery,Bills
"Nehtaur, India",Grocery,Bills
"Pratapgarh, India",Grocery,Entertainment
"Tohana, India",Grocery,Bills
"Jangaon, India",Grocery,Entertainment
"Sitapur, India",Grocery,Bills
"Diphu, India",Grocery,Bills
"Pavagada, India",Grocery,Bills
"Umred, India",Fuel,Bills
"Kadi, India",Food,Bills
"Mandapeta, India",Entertainment,Bills
"Sunabeda, India",Grocery,Bills
"Sira, India",Grocery,Bills
"Chirmiri, India",Grocery,Entertainment
"Palacole, India",Grocery,Bills
"Siddipet, India",Grocery,Entertainment
"Aligarh, India",Fuel,Bills
"Bellampalle, India",Grocery,Entertainment
"Udhagamandalam, India",Grocery,Bills
"Petlad, India",Grocery,Entertainment
"Indore, India",Grocery,Bills
"Kozhikode, India",Grocery,Bills
"Baripada Town, India",Grocery,Bills
"Pilkhuwa, India",Grocery,Entertainment
"Hapur, India",Grocery,Food
"Nawabganj, India",Fuel,Entertainment
"Sadabad, India",Grocery,Bills
"Arrah, India",Food,Entertainment
"Faridabad, India",Grocery,Bills
"Jammalamadugu, India",Grocery,Bills
"Pulgaon, India",Grocery,Bills
"Malavalli, India",Grocery,Bills
"Naidupet, India",Grocery,Bills
"Pathri, India",Grocery,Bills
"Jalandhar Cantt., India",Grocery,Entertainment
"Kharar, India",Grocery,Bills
"Jamnagar, India",Food,Bills
"Yavatmal, India",Fuel,Bills
"Itarsi, India",Fuel,Bills
"Sirohi, India",Fuel,Bills
"Ponnur, India",Fuel,Bills
"Upleta, India",Grocery,Entertainment
"Afzalpur, India",Grocery,Bills
"Amroha, India",Grocery,Food
"Bathinda, India",Grocery,Bills
"Gwalior, India",Grocery,Bills
"Tilhar, India",Grocery,Bills
"Bharatpur, India",Grocery,Entertainment
"Hajipur, India",Grocery,Bills
"Korba, India",Grocery,Bills
"Vijayawada, India",Bills,Bills
"Madhupur, India",Fuel,Entertainment
"Pilani, India",Grocery,Entertainment
"Thrissur, India",Grocery,Bills
"Visakhapatnam, India",Grocery,Bills
"Taliparamba, India",Fuel,Bills
"Mehkar, India",Fuel,Bills
"Repalle, India",Entertainment,Bills
"Nandyal, India",Grocery,Bills
"Sadasivpet, India",Grocery,Bills
"Belagavi, India",Grocery,Bills
"Ramngarh, India",Grocery,Bills
"Nanjikottai, India",Grocery,Bills
"Porbandar, India",Fuel,Bills
"Mahasamund, India",Grocery,Bills
"Khair, India",Grocery,Bills
