City,highest_expense_type,lowest_expense_type
"Bapatla, India",Grocery,Food
"Patratu, India",Fuel,Bills
"Salur, India",Grocery,Bills
"Nanjangud, India",Grocery,Bills
"Chittoor, India",Grocery,Bills
"Virudhunagar, India",Fuel,Bills
"Sardhana, India",Grocery,Entertainment
"Ratlam, India",Grocery,Bills
"Port Blair, India",Grocery,Bills
"Nalbari, India",Food,Bills
"Surapura, India",Food,Bills
"Morvi, India",Entertainment,Bills
"Sabalgarh, India",Grocery,Entertainment
"Shirdi, India",Grocery,Bills
"Mavelikkara, India",Grocery,Bills
"Rampurhat, India",Grocery,Bills
"Mahe, India",Fuel,Bills
"Talode, India",Grocery,Entertainment
"Tiruttani, India",Food,Bills
"Tamluk, India",Bills,Bills
"Murshidabad, India",Fuel,Entertainment
"Mandamarri, India",Fuel,Bills
"Parlakhemundi, India",Grocery,Bills
"Thane, India",Fuel,Bills
"Bongaigaon City, India",Fuel,Entertainment
"Yamunanagar, India",Grocery,Bills
"Rewari, India",Grocery,Entertainment
"Sikar, India",Fuel,Bills
"Ranchi, India",Grocery,Bills
"Sonamukhi, India",Grocery,Food
"Zunheboto, India",Grocery,Bills
"Mysore, India",Grocery,Bills
"Hardwar, India",Grocery,Bills
"Siruguppa, India",Grocery,Bills
"Varkala, India",Grocery,Bills
"Sinnar, India",Grocery,Bills
"Pinjore, India",Grocery,Bills
"Nautanwa, India",Grocery,Bills
"Motihari, India",Grocery,Bills
"Arvi, India",Food,Bills
"Vadalur, India",Grocery,Bills
"Sagara, India",Fuel,Entertainment
"Palani, India",Fuel,Bills
"Meerut, India",Grocery,Entertainment
"Vizianagaram, India",Grocery,Bills
"Guntakal, India",Fuel,Bills
"Sahaswan, India",Fuel,Entertainment
"Sagwara, India",Food,Bills
"Simdega, India",Fuel,Entertainment
"Tirunelveli, India",Grocery,Bills
"Osmanabad, India",Grocery,Bills
"Parvathipuram, India",Grocery,Bills
"Raisinghnagar, India",Fuel,Entertainment
"Radhanpur, India",Grocery,Entertainment
"Sunam, India",Grocery,Bills
"Dhubri, India",Fuel,Entertainment
"Hugli-Chinsurah, India",Food,Food
"Sultanpur, India",Grocery,Entertainment
"Nawada, India",Food,Bills
"Bhuj, India",Grocery,Bills
"Ankleshwar, India",Grocery,Bills
"Balurghat, India",Food,Bills
"Guwahati, India",Grocery,Bills
"Lunawada, India",Fuel,Bills
"Namakkal, India",Grocery,Bills
"Attingal, India",Fuel,Bills
"Davanagere, India",Grocery,Bills
"Vatakara, India",Grocery,Bills
"Kanhangad, India",Fuel,Bills
"Sathyamangalam, India",Grocery,Food
"Mandsaur, India",Grocery,Food
"Udupi, India",Grocery,Bills
"Chandigarh, India",Food,Food
"Bargarh, India",Grocery,Bills
"Shahabad Rampur, India",Grocery,Bills
"Chaibasa, India",Grocery,Bills
"Ashok Nagar, India",Grocery,Bills
"Ludhiana, India",Grocery,Entertainment
"Thuraiyur, India",Fuel,Bills
"Soron, India",Fuel,Bills
"Saharanpur, India",Grocery,Entertainment
"Sangareddy, India",Grocery,Bills
"Shamli, India",Fuel,Bills
"Salaya, India",Grocery,Food
"Shillong, India",Fuel,Entertainment
"Alwar, India",Fuel,Entertainment
"Tadepalligudem, India",Grocery,Entertainment
"Tiruvuru, India",Grocery,Entertainment
"Mankachar, India",Grocery,Bills
"Eluru, India",Grocery,Bills
"Thangadh, India",Fuel,Bills
"Malkapur, India",Fuel,Bills
"Ranibennur, India",Grocery,Entertainment
"Proddatur, India",Grocery,Bills
"Jharsuguda, India",Fuel,Entertainment
"Pakaur, India",Fuel,Entertainment
"Parbhani, India",Grocery,Bills
"Vapi, India",Grocery,Bills
"Tezpur, India",Grocery,Bills
"Pernampattu, India",Grocery,Bills
"Bahraich, India",Fuel,Food
"Virudhachalam, India",Grocery,Bills
"Aruppukkottai, India",Fuel,Entertainment
"Tirukalukundram, India",Grocery,Bills
"Orai, India",Grocery,Entertainment
"Amritsar, India",Grocery,Bills
"Nagercoil, India",Grocery,Entertainment
"Vadnagar, India",Grocery,Bills
"Shahpura, India",Grocery,Bills
"Muktsar, India",Fuel,Bills
"Kavali, India",Grocery,Entertainment
"Ranipet, India",Grocery,Bills
"Nargund, India",Grocery,Food
"Tirupathur, India",Fuel,Food
"Pedana, India",Grocery,Bills
"Wadhwan, India",Fuel,Bills
"Narasaraopet, India",Bills,Bills
"Srikakulam, India",Fuel,Entertainment
"Nawapur, India",Grocery,Bills
"Unnao, India",Fuel,Entertainment
"Pilibanga, India",Fuel,Food
"Satna, India",Food,Bills
"Kagaznagar, India",Grocery,Bills
"Raxaul Bazar, India",Fuel,Bills
"Pithapuram, India",Grocery,Entertainment
"Naihati, India",Fuel,Bills
"Rajpura, India",Grocery,Food
"Mandya, India",Grocery,Bills
"Malaj Khand, India",Food,Bills
"Panaji, India",Food,Bills
"Shahabad Hardoi, India",Grocery,Bills
"Pandharkaoda, India",Grocery,Entertainment
"Azamgarh, India",Fuel,Entertainment
"Phulabani, India",Fuel,Bills
"Nandurbar, India",Grocery,Bills
"Sirkali, India",Grocery,Bills
"Dhule, India",Grocery,Entertainment
"Seohara, India",Grocery,Entertainment
"Sandila, India",Grocery,Entertainment
"Fatehpur Sikri, India",Grocery,Entertainment
"Rayadurg, India",Grocery,Bills
"Lonavla, India",Food,Bills
"Bhopal, India",Food,Entertainment
"Tarikere, India",Fuel,Bills
"Seoni-Malwa, India",Grocery,Bills
"Nelamangala, India",Fuel,Entertainment
"Kandukur, India",Grocery,Fuel
"Suryapet, India",Fuel,Entertainment
"Sanawad, India",Grocery,Bills
"Palitana, India",Fuel,Entertainment
"Moradabad, India",Fuel,Bills
"Safidon, India",Entertainment,Bills
"Pen, India",Grocery,Entertainment
"Theni Allinagaram, India",Fuel,Bills
"Pandua, India",Grocery,Entertainment
"Uravakonda, India",Grocery,Bills
"Allahabad, India",Grocery,Bills
"Rupnagar, India",Grocery,Bills
"Udumalaipettai, India",Food,Bills
"Ramagundam, India",Grocery,Bills
"Lalitpur, India",Grocery,Bills
"Kharagpur, India",Grocery,Bills
"Medak, India",Food,Bills
"Bobbili, India",Grocery,Food
"Katihar, India",Grocery,Bills
"Kadapa, India",Grocery,Entertainment
"Munger, India",Grocery,Bills
"Sirsa, India",Grocery,Bills
"Kashipur, India",Entertainment,Bills
"Savner, India",Grocery,Bills
"Uran, India",Grocery,Bills
"Narasapuram, India",Entertainment,Bills
"Warisaliganj, India",Grocery,Bills
"Rosera, India",Grocery,Bills
"Solapur, India",Fuel,Entertainment
"Miryalaguda, India",Fuel,Food
"Macherla, India",Food,Bills
"Malur, India",Grocery,Bills
"Lumding, India",Grocery,Fuel
"Kyathampalle, India",Grocery,Entertainment
"Puri, India",Food,Entertainment
"Shirpur-Warwade, India",Entertainment,Entertainment
"Pali, India",Fuel,Bills
"Kishanganj, India",Food,Entertainment
"Anantapur, India",Grocery,Food
"Kathua, India",Entertainment,Bills
"Bhiwandi, India",Grocery,Bills
"Punganur, India",Grocery,Bills
"Lar, India",Fuel,Entertainment
"Jaggaiahpet, India",Grocery,Entertainment
"Jhumri Tilaiya, India",Grocery,Bills
"Unjha, India",Grocery,Entertainment
"Sirsaganj, India",Grocery,Bills
"Durg, India",Grocery,Bills
"Naugachhia, India",Grocery,Bills
"Sujangarh, India",Grocery,Bills
"Jalpaiguri, India",Fuel,Bills
"Siliguri, India",Food,Bills
"Wani, India",Fuel,Bills
"Bhiwani, India",Grocery,Entertainment
"Warangal, India",Fuel,Entertainment
"Paithan, India",Grocery,Bills
"Rudauli, India",Grocery,Bills
"Pondicherry, India",Food,Entertainment
"Kadiri, India",Grocery,Fuel
"Samalkot, India",Fuel,Food
"Asansol, India",Grocery,Bills
"Thodupuzha, India",Food,Food
"Ranebennuru, India",Grocery,Food
"Bhawanipatna, India",Fuel,Bills
"Nongstoin, India",Fuel,Entertainment
"Narkatiaganj, India",Grocery,Fuel
"Solan, India",Grocery,Bills
"Mahbubnagar, India",Fuel,Fuel
"Godhra, India",Food,Food
"Dhamtari, India",Grocery,Bills
"Tirupati, India",Grocery,Fuel
"Khammam, India",Fuel,Bills
"Rampura Phul, India",Food,Bills
"Umarga, India",Grocery,Bills
"Tarakeswar, India",Grocery,Food
"Sarni, India",Grocery,Bills
"Umaria, India",Entertainment,Entertainment
"Sullurpeta, India",Grocery,Grocery
"Nandura, India",Bills,Bills
"Patna, India",Grocery,Bills
"Kanpur, India",Travel,Bills
"Paradip, India",Bills,Bills
"Rameshwaram, India",Entertainment,Bills
"Nohar, India",Grocery,Bills
"Una, India",Grocery,Entertainment
"Sultanganj, India",Grocery,Bills
"Mandi Dabwali, India",Grocery,Entertainment
"Sherghati, India",Grocery,Food
"Kothagudem, India",Grocery,Bills
"Uran Islampur, India",Entertainment,Bills
"Mira-Bhayandar, India",Bills,Bills
"Mahidpur, India",Entertainment,Bills
"Savanur, India",Fuel,Entertainment
"Jaipur, India",Travel,Bills
"Vellore, India",Bills,Bills
"Bagaha, India",Entertainment,Entertainment
"Changanassery, India",Bills,Bills
"Tirur, India",Entertainment,Entertainment
"Srikalahasti, India",Fuel,Bills
"Wanaparthy, India",Fuel,Entertainment
"Fazilka, India",Food,Food
